Zfp516	zinc finger protein 516	MGI:MGI:2443957	C330029B10Rik|Zfp26l
Cdx1	caudal type homeobox 1	MGI:MGI:88360	Cdx|Cdx-1
Cdh1	cadherin 1	MGI:MGI:88354	Ecad|E-cad|E-cadherin|L-CAM|UM|uvomorulin
Tfap4	transcription factor AP4	MGI:MGI:103239	AP-4|bHLHc41|D930048N17Rik|Tcfap4
Tceal3	transcription elongation factor A (SII)-like 3	MGI:MGI:1913354	1100001D19Rik
Cd40lg	CD40 ligand	MGI:MGI:88337	CD154|Cd40L|gp39|HIGM1|IMD3|Ly-62|T-BAM|Tnfsf5
Cd40	CD40 antigen	MGI:MGI:88336	Bp50|p50|Tnfrsf5
Ccnd1	cyclin D1	MGI:MGI:88313	bcl-1|cD1|CycD1|Cyl-1|PRAD1
Spdef	SAM pointed domain containing ets transcription factor	MGI:MGI:1353422	PDEF|Pse
Eif2ak4	eukaryotic translation initiation factor 2 alpha kinase 4	MGI:MGI:1353427	GCN2
Nupr1l	nuclear protein transcriptional regulator 1 like	MGI:MGI:1923099	1810010E01Rik|4930579G22Rik
Ifi27	interferon, alpha-inducible protein 27	MGI:MGI:1277180	1110013J02Rik|2900026P10Rik|D12Ertd647e|Ifi27l1
Rfx6	regulatory factor X, 6	MGI:MGI:2445208	4930572O07Rik|Rfxdc1
Senp2	SUMO/sentrin specific peptidase 2	MGI:MGI:1923076	2310007L05Rik|4930538C18Rik
Zfp174	zinc finger protein 174	MGI:MGI:2686600	LOC385674
Sp3	trans-acting transcription factor 3	MGI:MGI:1277166	D130027J01Rik
Zbed4	zinc finger, BED type containing 4	MGI:MGI:2682302	1700009F06Rik
Tasp1	taspase, threonine aspartase 1	MGI:MGI:1923062	4930485D02Rik
Mier1	MEIR1 treanscription regulator	MGI:MGI:1918398	4933425I22Rik|5830411K19Rik
4930447C04Rik	RIKEN cDNA 4930447C04 gene	MGI:MGI:1923051	Six6as|Six6os1
Gtf2h3	general transcription factor IIH, polypeptide 3	MGI:MGI:1277143	34kDa|5033417D07Rik|BTF2|D5Ertd679e
Wwp1	WW domain containing E3 ubiquitin protein ligase 1	MGI:MGI:1861728	8030445B08Rik|AIP5|SDRP1|Tiul1
Rfx4	regulatory factor X, 4 (influences HLA class II expression)	MGI:MGI:1918387	4933412G19Rik
Per3	period circadian clock 3	MGI:MGI:1277134	2810049O06Rik|mPer3
Phf11d	PHD finger protein 11D	MGI:MGI:1277133	D14Ertd668e
Rai1	retinoic acid induced 1	MGI:MGI:103291	Gt1
Prmt1	protein arginine N-methyltransferase 1	MGI:MGI:107846	6720434D09Rik|Hrmt1l2
Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	MGI:MGI:103296	D8Ertd281e|NFAT4|NFATx
Smurf1	SMAD specific E3 ubiquitin protein ligase 1	MGI:MGI:1923038	4930431E10Rik
Otud7b	OTU domain containing 7B	MGI:MGI:2654703	2900060B22Rik|4930463P07Rik|Za20d1
Pde8a	phosphodiesterase 8A	MGI:MGI:1277116	Pde8
Tssk4	testis-specific serine kinase 4	MGI:MGI:1918349	1700020B19Rik|4933424F08Rik
Hexim2	hexamethylene bis-acetamide inducible 2	MGI:MGI:1918309	4933402L21Rik
Rhox5	reproductive homeobox 5	MGI:MGI:97538	Pem
Gtf2a2	general transcription factor II A, 2	MGI:MGI:1933289	12kDa|Tfiia2|TfIIg
Brdt	bromodomain, testis-specific	MGI:MGI:1891374	7420412D09Rik|Brd6|Fsrg3
Gtf2a1	general transcription factor II A, 1	MGI:MGI:1933277	19kDa|37kDa|6330549H03Rik|Tfiia1|TfIIAa/b
Supt5	suppressor of Ty 5	MGI:MGI:1202400	Spt5|Supt5h
Tob1	transducer of ErbB-2.1	MGI:MGI:1349721	Tob|Trob
Ncor1	nuclear receptor co-repressor 1	MGI:MGI:1349717	5730405M06Rik|A230020K14Rik|N-CoR|Rxrip13
Runx2	runt related transcription factor 2	MGI:MGI:99829	AML3|Cbfa1|Osf2|PEBP2aA|PEBP2 alpha A|Pebpa2a|polyomavirus enhancer binding factor 2  (PEBP2)|SL3-3 enhancer factor 1
Ybx3	Y box protein 3	MGI:MGI:2137670	Csda|dbpA|Dpba|MSY3|MSY4|oxyR|Yb2
Lpin3	lipin 3	MGI:MGI:1891342	9130206L11Rik
Lpin2	lipin 2	MGI:MGI:1891341	2610511G02Rik
Lpin1	lipin 1	MGI:MGI:1891340	Lipin1
Npnt	nephronectin	MGI:MGI:2148811	1110009H02Rik|POEM
Aym1	activator of yeast meiotic promoters 1	MGI:MGI:1891321	
Rgma	repulsive guidance molecule family member A	MGI:MGI:2679262	RGM domain family, member A
Cacna1d	calcium channel, voltage-dependent, L type, alpha 1D subunit	MGI:MGI:88293	8430418G19Rik|C79217|Cacnl1a2|Cav1.3alpha1|Cchl1a|Cchl1a2|D-LTCC
Zscan20	zinc finger and SCAN domains 20	MGI:MGI:2679268	Zfp31
Cbx2	chromobox 2	MGI:MGI:88289	M33
Mnda	myeloid cell nuclear differentiation antigen	MGI:MGI:3041120	
Cat	catalase	MGI:MGI:88271	Cas1|Cas-1|Cs-1
Zmynd11	zinc finger, MYND domain containing 11	MGI:MGI:1913755	2210402G22Rik
Camk4	calcium/calmodulin-dependent protein kinase IV	MGI:MGI:88258	A430110E23Rik|Ca2+/calmodulin-dependent protein kinase type IV/Gr|CaMKIV|CaMKIV/Gr|D18Bwg0362e
Camk2a	calcium/calmodulin-dependent protein kinase II alpha	MGI:MGI:88256	alpha-CaMKII
Calr	calreticulin	MGI:MGI:88252	Calregulin|CRT
Mxd4	Max dimerization protein 4	MGI:MGI:104991	2810410A03Rik|bHLHc12|Mad4
Gclc	glutamate-cysteine ligase, catalytic subunit	MGI:MGI:104990	D9Wsu168e|gamma GCS-HS|Glclc|GLCL-H
Mxd3	Max dimerization protein 3	MGI:MGI:104987	4631412E13Rik|bHLHc13|Mad3
Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	MGI:MGI:104982	C/EBPgamma|Gpe1bp|GPE1-BP|Ig/EBP
Il1rap	interleukin 1 receptor accessory protein	MGI:MGI:104975	6430709H04Rik|IL-1RAcP|IL-1R AcP
Commd3	COMM domain containing 3	MGI:MGI:88218	Bup|D2Ertd542e
Btk	Bruton agammaglobulinemia tyrosine kinase	MGI:MGI:88216	Bruton's tyrosine kinase|xid|X-linked immune deficiency
Alx3	aristaless-like homeobox 3	MGI:MGI:1277097	
Ssrp1	structure specific recognition protein 1	MGI:MGI:107912	Hmg1-rs1|Hmgi-rs3|Hmgox|T160
Stra8	stimulated by retinoic acid gene 8	MGI:MGI:107917	
Snai3	snail family zinc finger 3	MGI:MGI:1353563	Smuc|Snail-related gene from muscle cells|Zfp293
Tead2	TEA domain family member 2	MGI:MGI:104904	Etdf|TEAD-2|TEF-4
Gpc3	glypican 3	MGI:MGI:104903	OCI-5
Tbx2	T-box 2	MGI:MGI:98494	
Pcgf6	polycomb group ring finger 6	MGI:MGI:1918291	4933407A11Rik|MBLR|Mel18 and Bmi1-like RING finger protein|Rnf134
Sqstm1	sequestosome 1	MGI:MGI:107931	A170|OSF-6|Osi|p62|STAP
Tfb2m	transcription factor B2, mitochondrial	MGI:MGI:107937	Hkp1
Nhlh1	nescient helix loop helix 1	MGI:MGI:98481	bHLHa35|Hen1|Nscl|Tal2
Tal1	T cell acute lymphocytic leukemia 1	MGI:MGI:98480	bHLHa17|Hpt|Scl|SCL/tal-1
Fbxw11	F-box and WD-40 domain protein 11	MGI:MGI:2144023	2310065A07Rik|BTRC2|BTRCP2|Fbxw1b|HOS
Sall4	sal-like 4 (Drosophila)	MGI:MGI:2139360	5730441M18Rik|C330011P20Rik|Tex20
T	brachyury	MGI:MGI:98472	Bra|T1
Kctd1	potassium channel tetramerisation domain containing 1	MGI:MGI:1918269	4933402K10Rik
Sall2	sal-like 2 (Drosophila)	MGI:MGI:1354373	Msal-2
Med22	mediator complex subunit 22	MGI:MGI:98446	Surf5|Surf-5
Phf6	PHD finger protein 6	MGI:MGI:1918248	2700007B13Rik|4931428F02Rik
Mterf1a	mitochondrial transcription termination factor 1a	MGI:MGI:1918240	4931431L11Rik|9230106K09Rik|Mterf|Mterf1
Nup85	nucleoporin 85	MGI:MGI:3046173	frount|Pcnt1
Naca	nascent polypeptide-associated complex alpha polypeptide	MGI:MGI:106095	LOC380777|skNAC
Mypop	Myb-related transcription factor, partner of profilin	MGI:MGI:2446472	Myodysa|P42pop
Ptafr	platelet-activating factor receptor	MGI:MGI:106066	PAFR|PAF receptor
Rad54l2	RAD54 like 2 (S. cerevisiae)	MGI:MGI:1933196	Arip4|G630026H09Rik|Srisnf2l
Gm14474	predicted gene 14474	MGI:MGI:3650131	
Prdx2	peroxiredoxin 2	MGI:MGI:109486	protector protein|PRP|PrxII|Prx II-1|Tdpx1|TDX1|thiol specific antioxidant protein|thioredoxin dependent peroxide reductase 1|thioredoxin peroxidase|thioredoxin reductase|TPx|TR|Trx dependent peroxide reductase 1|TSA
Six3	sine oculis-related homeobox 3	MGI:MGI:102764	E130112M24Rik
Chrdl1	chordin-like 1	MGI:MGI:1933172	CHL1|Nrln1|ventroptin-alpha|verntroptin-beta|VOPT
Gzf1	GDNF-inducible zinc finger protein 1	MGI:MGI:1921783	8430437G08Rik|Zfp336
Tfap2c	transcription factor AP-2, gamma	MGI:MGI:106032	Ap-2.2|AP2gamma|Stra2|Tcfap2c
Six2	sine oculis-related homeobox 2	MGI:MGI:102778	
Akap8	A kinase (PRKA) anchor protein 8	MGI:MGI:1928488	1200016A02Rik|AKAP95
Stk3	serine/threonine kinase 3	MGI:MGI:1928487	0610042I06Rik|mess1|MST|Mst2|Ste20
Sost	sclerostin	MGI:MGI:1921749	5430411E23Rik
Mamstr	MEF2 activating motif and SAP domain containing transcriptional regulator	MGI:MGI:1921740	2810022D01Rik|5430432N15Rik|MASTR
Edf1	endothelial differentiation-related factor 1	MGI:MGI:1891227	0610008L11Rik|hypothetical protein 1-9
Cdk5rap3	CDK5 regulatory subunit associated protein 3	MGI:MGI:1933126	1810007E24Rik|C53|HSF-27|IC53|MST016|OK/SW-cl.114
Batf2	basic leucine zipper transcription factor, ATF-like 2	MGI:MGI:1921731	4933430F08Rik
Samd4	sterile alpha motif domain containing 4	MGI:MGI:1921730	1700024G08Rik|1700111L17Rik|4933436G17Rik|Smaug|sunk
Smarca4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	MGI:MGI:88192	b2b508.1Clo|b2b692Clo|Brg1|SNF2beta|SW1/SNF
Zfp941	zinc finger protein 941	MGI:MGI:3039601	BC066028
Zfp423	zinc finger protein 423	MGI:MGI:1891217	ataxia1|Ebfaz|Roaz|Zfp104
Bmp6	bone morphogenetic protein 6	MGI:MGI:88182	D13Wsu115e|Vgr1
Bmp5	bone morphogenetic protein 5	MGI:MGI:88181	
Bmp4	bone morphogenetic protein 4	MGI:MGI:88180	Bmp2b|Bmp2b1|Bmp2b-1|Bmp-4
Zfp239	zinc finger protein 239	MGI:MGI:1306812	Mok2|Mok-2
Trim13	tripartite motif-containing 13	MGI:MGI:1913847	3110001L12Rik|LEU5|Rfp2|RNF77
Taf7l	TATA-box binding protein associated factor 7 like	MGI:MGI:1921719	4933438I11Rik|Taf2q
Bmp3	bone morphogenetic protein 3	MGI:MGI:88179	9530029I04Rik
Bmp1	bone morphogenetic protein 1	MGI:MGI:88176	
Bmi1	Bmi1 polycomb ring finger oncogene	MGI:MGI:88174	Bmi-1|Pcgf4
Slc9a1	solute carrier family 9 (sodium/hydrogen exchanger), member 1	MGI:MGI:102462	antiporter|Apnh|Nhe1|Nhe-1
Ptpn14	protein tyrosine phosphatase, non-receptor type 14	MGI:MGI:102467	C130080N23Rik|OTTMUSG00000022087|PTP36
Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	MGI:MGI:102469	2210017P03Rik|NFAT2|NFATc|NF-ATc
Rest	RE1-silencing transcription factor	MGI:MGI:104897	2610008J04Rik|NRSF
Ywhah	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	MGI:MGI:109194	14-3-3 eta
Bdnf	brain derived neurotrophic factor	MGI:MGI:88145	
Bcl3	B cell leukemia/lymphoma 3	MGI:MGI:88140	Bcl-3
Ubp1	upstream binding protein 1	MGI:MGI:104889	LBP-1a|LBP-1b|NF2d9
Rrn3	RRN3 RNA polymerase I transcription factor homolog (yeast)	MGI:MGI:1925255	E130302O19Rik|TIF-1A
Hes3	hairy and enhancer of split 3 (Drosophila)	MGI:MGI:104877	bHLHb43
Hes5	hairy and enhancer of split 5 (Drosophila)	MGI:MGI:104876	bHLHb38
Akt2	thymoma viral proto-oncogene 2	MGI:MGI:104874	2410016A19Rik|PKB|PKBbeta
Ndnl2	necdin-like 2	MGI:MGI:1913897	5730494G16Rik|HCA4|Mageg1
Lbx1	ladybird homeobox homolog 1 (Drosophila)	MGI:MGI:104867	Lbx1h
Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	MGI:MGI:88111	PMCA4
Rorc	RAR-related orphan receptor gamma	MGI:MGI:104856	RORgamma|Thor|thymus orphan receptor
Hes1	hairy and enhancer of split 1 (Drosophila)	MGI:MGI:104853	bHLHb39|Hry
Zfp354c	zinc finger protein 354C	MGI:MGI:1353621	5330421P20Rik|AJ18|Kid3
Abt1	activator of basal transcription 1	MGI:MGI:1353636	
Hnrnpa2b1	heterogeneous nuclear ribonucleoprotein A2/B1	MGI:MGI:104819	9130414A06Rik|Hnrpa2|Hnrpa2b1
Dgkq	diacylglycerol kinase, theta	MGI:MGI:102918	110kDa|Dagk4|DAGK7|Dgkd|Dgk theta
Rax	retina and anterior neural fold homeobox	MGI:MGI:109632	E130303K03Rik|ey1|Rx
Med15	mediator complex subunit 15	MGI:MGI:2137379	A230074L19Rik|Pcqap
Insig1	insulin induced gene 1	MGI:MGI:1916289	1810013C12Rik|Insig-1
Gm14501	predicted gene 14501	MGI:MGI:3710586	
Trim33	tripartite motif-containing 33	MGI:MGI:2137357	8030451N04Rik|Ecto|ectodermin|Tif1g
Gm14482	predicted gene 14482	MGI:MGI:3710577	
Plk3	polo-like kinase 3	MGI:MGI:109604	Cnk
Cmklr1	chemokine-like receptor 1	MGI:MGI:109603	ChemR23|Gpcr27
Nck1	non-catalytic region of tyrosine kinase adaptor protein 1	MGI:MGI:109601	6330586M15Rik|D230010O13Rik|Nck
Tardbp	TAR DNA binding protein	MGI:MGI:2387629	1190002A23Rik|Tdp43|TDP-43
Thap7	THAP domain containing 7	MGI:MGI:1916259	1810004B07Rik
Mcts1	malignant T cell amplified sequence 1	MGI:MGI:1916245	1500019M23Rik|MCT-1
Ssu72	Ssu72 RNA polymerase II CTD phosphatase homolog (yeast)	MGI:MGI:1916241	1190002E22Rik|1500011L16Rik|2610101M12Rik
Igf2	insulin-like growth factor 2	MGI:MGI:96434	Igf-2|Igf-II|M6pr|Mpr|Peg2
Igf1r	insulin-like growth factor I receptor	MGI:MGI:96433	A330103N21Rik|CD221|hyft|IGF-1R|line 186
Igf1	insulin-like growth factor 1	MGI:MGI:96432	C730016P09Rik|Igf-1|Igf-I
Ifi204	interferon activated gene 204	MGI:MGI:96429	p204
Ifi203	interferon activated gene 203	MGI:MGI:96428	
Nol11	nucleolar protein 11	MGI:MGI:1916229	1500002M01Rik
Med27	mediator complex subunit 27	MGI:MGI:1916225	1500015J03Rik|2310042P07Rik|Crsp8|D2Ertd434e
Mycbp2	MYC binding protein 2	MGI:MGI:2179432	C130061D10Rik|Pam|Phr1
Gm8923	predicted gene 8923	MGI:MGI:3779822	
Tirap	toll-interleukin 1 receptor (TIR) domain-containing adaptor protein	MGI:MGI:2152213	C130027E04Rik|Mal|MyD88-adapter-like|wyatt
Trib1	tribbles pseudokinase 1	MGI:MGI:2443397	A530090O15Rik|Trb1
Bmyc	brain expressed myelocytomatosis oncogene	MGI:MGI:88184	2900002K07Rik
Gsx2	GS homeobox 2	MGI:MGI:95843	Gsh2|Gsh-2
Phox2b	paired-like homeobox 2b	MGI:MGI:1100882	Dilp1|GENA 269|NBPhox|Pmx2b
Yeats4	YEATS domain containing 4	MGI:MGI:1927224	4930573H17Rik|B230215M10Rik|GAS41|NuBI-1
Setd7	SET domain containing (lysine methyltransferase) 7	MGI:MGI:1920501	1600028F23Rik|KMT7|Set7|Set7/9
Plagl1	pleiomorphic adenoma gene-like 1	MGI:MGI:1100874	Zac1
Nelfcd	negative elongation factor complex member C/D, Th1l	MGI:MGI:1926424	2410003I03Rik|Th1l|trihydrophobin 1
Zmym3	zinc finger, MYM-type 3	MGI:MGI:1927231	9030216B10Rik|DXHXS6673E|DXS6673E|DXS6673El|Zfp261
Zbtb21	zinc finger and BTB domain containing 21	MGI:MGI:1927240	5430437K12Rik|B430213I24Rik|Zfp295|Znf295
Dll4	delta-like 4 (Drosophila)	MGI:MGI:1859388	Delta4
Gpbp1	GC-rich promoter binding protein 1	MGI:MGI:1920524	1700034P14Rik|D230035M11Rik
Med1	mediator complex subunit 1	MGI:MGI:1100846	CRSP210|DRIP205|l11Jus15|PBP|Pparbp|TRAP220|TRAP 220
Has3	hyaluronan synthase 3	MGI:MGI:109599	
Nfic	nuclear factor I/C	MGI:MGI:109591	1110019L22Rik|1500041O16Rik|NF1-C|nuclear factor 1-C2
Vopp1	vesicular, overexpressed in cancer, prosurvival protein 1	MGI:MGI:2141658	
Fosl2	fos-like antigen 2	MGI:MGI:102858	Fra-2
Elk4	ELK4, member of ETS oncogene family	MGI:MGI:102853	2310011G17Rik|A130026I01Rik|Sap1
Pten	phosphatase and tensin homolog	MGI:MGI:109583	2310035O07Rik|A130070J02Rik|B430203M17Rik|MMAC1|TEP1
Vwc2	von Willebrand factor C domain containing 2	MGI:MGI:2442987	A930041G11Rik|Brorin|cradin
Taf1a	TATA-box binding protein associated factor, RNA polymerase I, A	MGI:MGI:109578	mTAFI48
Ptgis	prostaglandin I2 (prostacyclin) synthase	MGI:MGI:1097156	Cyp8a1|Pgi2|Pgis
Aff1	AF4/FMR2 family, member 1	MGI:MGI:1100819	9630032B01Rik|Af4|Mllt2h|Rob
Zbtb33	zinc finger and BTB domain containing 33	MGI:MGI:1927290	E130014G12Rik|kaiso|ZNF-Kaiso
Map3k9	mitogen-activated protein kinase kinase kinase 9	MGI:MGI:2449952	Mlk1
Kmt2b	lysine (K)-specific methyltransferase 2B	MGI:MGI:109565	2610014H22Rik|Mll2|Wbp7
Nfat5	nuclear factor of activated T cells 5	MGI:MGI:1859333	B130038B15Rik|nfatz|OREBP|TonEBP
Psmc2	proteasome (prosome, macropain) 26S subunit, ATPase 2	MGI:MGI:109555	
Zgpat	zinc finger, CCCH-type with G patch domain	MGI:MGI:2449939	
Lmo1	LIM domain only 1	MGI:MGI:102812	Rbtn1|Rbtn-1|Ttg1
Lmo2	LIM domain only 2	MGI:MGI:102811	Rbtn2|Rbtn-2|Rhom-2
Barhl2	BarH-like 2 (Drosophila)	MGI:MGI:1859314	E130309B19Rik|MBH1
Acvr2a	activin receptor IIA	MGI:MGI:102806	ActRIIa|Acvr2|tActRII
E4f1	E4F transcription factor 1	MGI:MGI:109530	
Id2	inhibitor of DNA binding 2	MGI:MGI:96397	bHLHb26|C78922|Idb2|inhibitor of differentiation 2
Id1	inhibitor of DNA binding 1	MGI:MGI:96396	bHLHb24|D2Wsu140e|Idb1
Irf8	interferon regulatory factor 8	MGI:MGI:96395	ICSBP|Icsbp1|IRF-8|Myls
Zfp780b	zinc finger protein 780B	MGI:MGI:2444764	B230208L21Rik
Icam1	intercellular adhesion molecule 1	MGI:MGI:96392	CD54|Icam-1|Ly-47|MALA-2
Dpf2	D4, zinc and double PHD fingers family 2	MGI:MGI:109529	2210010M07Rik|Req|requiem|ubi-d4
Pink1	PTEN induced putative kinase 1	MGI:MGI:1916193	1190006F07Rik|brpk
Zfp467	zinc finger protein 467	MGI:MGI:1916160	1190001I08Rik|EZI|MNCb-3350
Zfp711	zinc finger protein 711	MGI:MGI:3045342	2810409C01Rik|A230078I01Rik
Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2	MGI:MGI:1923718	2310065A22Rik|D130071B19Rik|Nirf
Maf1	MAF1 homolog, negative regulator of RNA polymerase III	MGI:MGI:1916127	1110068E11Rik
Gm14476	predicted gene 14476	MGI:MGI:3710419	ENSMUSG00000073284
Gm14475	predicted gene 14475	MGI:MGI:3710416	ENSMUSG00000073279
Arid4a	AT rich interactive domain 4A (RBP1-like)	MGI:MGI:2444354	A630067N03Rik|Rbbp1
Cbx7	chromobox 7	MGI:MGI:1196439	1600014J01Rik|D15Ertd417e
Hltf	helicase-like transcription factor	MGI:MGI:1196437	P113|Smarca3|Snf2l3
Phf8	PHD finger protein 8	MGI:MGI:2444341	9830141C09Rik
Onecut1	one cut domain, family member 1	MGI:MGI:1196423	D9Ertd423e|Hfh12|Hnf6|Oc1|OC-1
Ccpg1	cell cycle progression 1	MGI:MGI:1196419	1700030B06Rik|1810073J13Rik|9430028F23Rik|D9Ertd392e
Pla2g10	phospholipase A2, group X	MGI:MGI:1347522	GX sPLA2|mGXsPLA2|PLA2GX
Ror2	receptor tyrosine kinase-like orphan receptor 2	MGI:MGI:1347521	Ntrkr2
Zfp518b	zinc finger protein 518B	MGI:MGI:2140750	6820424L24Rik
Ctdspl2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	MGI:MGI:1196405	D2Ertd485e
Zfp612	zinc finger protein 612	MGI:MGI:2443465	B230354B21Rik
Noc2l	NOC2 like nucleolar associated transcriptional repressor	MGI:MGI:1931051	NIR
Ralgapa1	Ral GTPase activating protein, alpha subunit 1	MGI:MGI:1931050	2310003F20Rik|4930400K19Rik|Garnl1|Tulip1
Sp8	trans-acting transcription factor 8	MGI:MGI:2443471	D930049B17Rik|mBtd
Zfp703	zinc finger protein 703	MGI:MGI:2662729	1110032O19Rik|Csmn1|End2|Zeppo1
Cdon	cell adhesion molecule-related/down-regulated by oncogenes	MGI:MGI:1926387	CAM-related/down-regulated by oncogenes|CDO
Setx	senataxin	MGI:MGI:2443480	A930037J23Rik|Als4
Nelfb	negative elongation factor complex member B	MGI:MGI:1931035	A730008L03Rik|Cobra1
Ppid	peptidylprolyl isomerase D (cyclophilin D)	MGI:MGI:1914988	4930564J03Rik|cyclophilin 40|CYP-40|cytoplasmic cyclophilin D|Ppidl
Itgb3bp	integrin beta 3 binding protein (beta3-endonexin)	MGI:MGI:1914983	4930471O16Rik
Zscan25	zinc finger and SCAN domain containing 25	MGI:MGI:3647079	EG666311|Zfp498
Sertad2	SERTA domain containing 2	MGI:MGI:1931026	Sei2|SEI-2|Trip-Br2
Ift74	intraflagellar transport 74	MGI:MGI:1914944	1700029H06Rik|b2b796Clo|Ccdc2|Cmg1
Hcls1	hematopoietic cell specific Lyn substrate 1	MGI:MGI:104568	HS1
Tceb2	transcription elongation factor B (SIII), polypeptide 2	MGI:MGI:1914923	0610040H15Rik|18 kDa, elongin B
Tgfb1i1	transforming growth factor beta 1 induced transcript 1	MGI:MGI:102784	ARA55|hic-5|TSC-5
Barhl1	BarH-like 1 (Drosophila)	MGI:MGI:1859288	Dres115|MBH2
Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like	MGI:MGI:1859287	D6Ertd14e|ecat7
Htatip2	HIV-1 Tat interactive protein 2	MGI:MGI:1859271	TIP30
Nbl1	neuroblastoma, suppression of tumorigenicity 1	MGI:MGI:104591	D4H1S1733E|DAN|Dana|NO3
Xcl1	chemokine (C motif) ligand 1	MGI:MGI:104593	ATAC|Lptn|LTN|lymphotactin|SCM-1|SCM-1a|Scyc1
Gata5	GATA binding protein 5	MGI:MGI:109497	
Msl3l2	male-specific lethal 3-like 2 (Drosophila)	MGI:MGI:1920640	1700060H10Rik
Trim25	tripartite motif-containing 25	MGI:MGI:102749	estrogen-responsive finger protein|Zfp147
Nelfe	negative elongation factor complex member E, Rdbp	MGI:MGI:102744	NELF-E|Rdbp
Commd1	COMM domain containing 1	MGI:MGI:109474	Murr1
Usp34	ubiquitin specific peptidase 34	MGI:MGI:109473	A530081C03Rik|Murr2
Nod2	nucleotide-binding oligomerization domain containing 2	MGI:MGI:2429397	Card15|F830032C23Rik|Nlrc2
Zmynd15	zinc finger, MYND-type containing 15	MGI:MGI:3603821	
Smad1	SMAD family member 1	MGI:MGI:109452	Madh1|Madr1|Smad 1
Ednrb	endothelin receptor type B	MGI:MGI:102720	ETb|ETR-b|Sox10m1
Snd1	staphylococcal nuclease and tudor domain containing 1	MGI:MGI:1929266	p100 co-activator|Tudor-SN
Zfp819	zinc finger protein 819	MGI:MGI:1921650	4930427I11Rik|4933405K07Rik
Mllt10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10	MGI:MGI:1329038	Af10|B130021D15Rik|D630001B22Rik
Elf4	E74-like factor 4 (ets domain transcription factor)	MGI:MGI:1928377	MEF|myeloid elf-1 like factor
Ube2l3	ubiquitin-conjugating enzyme E2L 3	MGI:MGI:109240	Ubce7|UbcM4
Tead3	TEA domain family member 3	MGI:MGI:109241	DTEF-1|ETFR-1|Tcf13r2|TEAD-3|TEF-5
Card11	caspase recruitment domain family, member 11	MGI:MGI:1916978	0610008L17Rik|2410011D02Rik|BIMP3|CARMA1
Pou4f2	POU domain, class 4, transcription factor 2	MGI:MGI:102524	Brn-3.2|Brn3b|Brn-3b|mBrn3-3R|Pou4f-rs1
Atf4	activating transcription factor 4	MGI:MGI:88096	Atf-4|C/ATF|CREB2|TAXREB67
Nfatc2ip	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 interacting protein	MGI:MGI:1329015	D7Ertd304e|NIP45
Galr3	galanin receptor 3	MGI:MGI:1329003	Galnr3
Nr2f1	nuclear receptor subfamily 2, group F, member 1	MGI:MGI:1352451	COUP-TF1|COUP-TFI|Erbal3|Tcfcoup1
Arnt	aryl hydrocarbon receptor nuclear translocator	MGI:MGI:88071	bHLHe2|D3Ertd557e|ESTM42|Hif1b
Psen2	presenilin 2	MGI:MGI:109284	Ad4h|ALG-3|PS2|PS-2
Nr0b1	nuclear receptor subfamily 0, group B, member 1	MGI:MGI:1352460	Ahc|Ahch|AHX|Dax1|DAX-1
App	amyloid beta (A4) precursor protein	MGI:MGI:88059	Abeta|Adap|appican|betaAPP|Cvap|E030013M08Rik|protease nexin II
Tnf	tumor necrosis factor	MGI:MGI:104798	DIF|Tnfa|TNFalpha|TNF alpha|TNF-alpha|Tnfsf1a|tumor necrosis factor-alpha
Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	MGI:MGI:104793	Cbfa2t1h|ETO|MTG8
Sall3	sal-like 3 (Drosophila)	MGI:MGI:109295	B130022O04Rik|Msal|Msal-1|Salt|Spalt
Ndp	Norrie disease (pseudoglioma) (human)	MGI:MGI:102570	ND|Ndph|Norrin
Apex1	apurinic/apyrimidinic endonuclease 1	MGI:MGI:88042	HAP1|Ref-1
Zfp90	zinc finger protein 90	MGI:MGI:104786	6430515L01Rik|KRAB17|NK10|Nk10 expressed protein|Zfp64|Zfp83
Atxn1	ataxin 1	MGI:MGI:104783	2900016G23Rik|Atx1|Sca1
Anxa4	annexin A4	MGI:MGI:88030	AIV|annexin IV|Anx4|Xanx-4
Prkdc	protein kinase, DNA activated, catalytic polypeptide	MGI:MGI:104779	DNAPDcs|DNA-PK|DNA-PKcs|DOXNPH|dxnph|slip|XRCC7
Cdk2	cyclin-dependent kinase 2	MGI:MGI:104772	A630093N05Rik
Erbb4	erb-b2 receptor tyrosine kinase 4	MGI:MGI:104771	Her4
Sik1	salt inducible kinase 1	MGI:MGI:104754	Msk|Snf1lk
